PID,NAME,PRICE,PRODUCT_IMAGE,LOCATION,DELTA_TIME
278855585,(급처) 아이폰 x 256gb 실버,130000,https://media.bunjang.co.kr/product/278855585_1_1720619382_w{res}.jpg,경기도 성남시 분당구 서현1동,1720619382
278810030,액정/외관깨끗 아이폰x 배터리성능 100% 실버 256gb 132336,308000,https://media.bunjang.co.kr/product/278810030_1_1720605609_w{res}.jpg,울산광역시 남구 삼산동,1720605609
278810008,액정/외관깨끗 아이폰x 배터리성능 100% 실버 256gb 132336,308000,https://media.bunjang.co.kr/product/278810008_1_1720605602_w{res}.jpg,울산광역시 남구 삼산동,1720605602
261657529,아이폰x 64gb,160000,https://media.bunjang.co.kr/product/261657529_1_1720164672_w{res}.jpg,대구광역시 달서구 신당동,1720603486
264016953,아이폰 x 64gb,170000,https://media.bunjang.co.kr/product/264016953_1_1716723180_w{res}.jpg,경기도 수원시 권선구 평동,1720623693
264080925,아이폰x 스그 64기가,175000,https://media.bunjang.co.kr/product/264080925_1_1720642593_w{res}.jpg,서울특별시 금천구 시흥제4동,1720638746
215794076,아이폰x 블랙 64기가,220000,https://media.bunjang.co.kr/product/215794076_1_1717030249_w{res}.jpg,경상남도 양산시 평산동,1720615865
277384525,아이폰x 256기가 실버,250000,https://media.bunjang.co.kr/product/277384525_1_1720093594_w{res}.jpg,서울특별시 중랑구 망우본동,1720614167
200944419,아이폰 x 256기가 실버,340000,https://media.bunjang.co.kr/product/200944419_1_1690262696_w{res}.jpg,경상남도 양산시 평산동,1720615959
275492266,(급처) 아이폰14프로맥스 128기가 네고x,1000000,https://media.bunjang.co.kr/product/275492266_1_1720632832_w{res}.jpg,경상북도 구미시 선주원남동,1720632566
270404204,"아이폰x,64gb블랙. 초s급 풀구성 하자x",250000,https://media.bunjang.co.kr/product/270404204_1_1719545690_w{res}.jpg,경기도 고양시 일산서구 대화동,1720605053
278762817,아이폰 x 64기가(네고 o),150000,https://media.bunjang.co.kr/product/278762817_1_1720681333_w{res}.jpg,대전광역시 유성구 노은1동,1720590661
261092484,아이폰x / 256gb / 실버 / 배터리성능 84%,100000,https://media.bunjang.co.kr/product/261092484_1_1720070180_w{res}.jpg,경기도 시흥시 능곡동,1720593384
278721436,19183 아이폰13 128기가 핑크 배터리효율 83% 페이스아이디x 정,424000,https://media.bunjang.co.kr/product/278721436_1_1720574590_w{res}.jpg,경기도 수원시 팔달구 인계동,1720574590
200732003,아이폰x 64기가 배터리99 블랙)39594,260000,https://media.bunjang.co.kr/product/200732003_1_1706686362_w{res}.jpg,인천광역시 계양구 계산2동,1720580783
277535688,베터리100)아이폰x 256g 최상급,290000,https://media.bunjang.co.kr/product/277535688_1_1720152879_w{res}.jpg,서울특별시 광진구 구의제1동,1720576850
241154651,아이폰x 256g 스그 (특 s급)배터리100,288000,https://media.bunjang.co.kr/product/241154651_1_1720470114_w{res}.jpg,서울특별시 강남구 일원2동,1720561443
277293488,아이폰x 64 블랙 판매해요,130000,https://media.bunjang.co.kr/product/277293488_1_1720509729_w{res}.jpg,서울특별시 강남구 신사동,1720485622
278544542,아이폰x 블랙 64gb 30만 82421 수원,300000,https://media.bunjang.co.kr/product/278544542_1_1720496627_w{res}.jpg,경기도 수원시 팔달구 인계동,1720496627
277832830,21534)아이폰 x  64gb 81% 상태양호,215000,https://media.bunjang.co.kr/product/277832830_1_1720253664_w{res}.jpg,경기도 안산시 단원구 호수동,1720493624
245174126,(네고 23만원 가능) 아이폰x 256gb 실버,250000,https://media.bunjang.co.kr/product/245174126_1_1701684177_w{res}.jpg,경기도 김포시 김포본동,1720498517
275778620,무잔상 아이폰x 배터리성능100% 실버 256gb 판매 30497,308000,https://media.bunjang.co.kr/product/275778620_1_1719542312_w{res}.jpg,울산광역시 중구 중앙동,1720494221
275778511,무잔상 아이폰x 배터리성능100% 실버 256gb 판매 30497,308000,https://media.bunjang.co.kr/product/275778511_1_1719542276_w{res}.jpg,울산광역시 중구 중앙동,1720494219
278536402,무잔상/외관깨끗 아이폰x 배터리성능100% 블랙 64gb 판매 01782,275000,https://media.bunjang.co.kr/product/278536402_1_1720494286_w{res}.jpg,울산광역시 중구 중앙동,1720494286
278587036,19183 아이폰13 128기가 핑크 배터리효율 83% 페이스아이디x 정,424000,https://media.bunjang.co.kr/product/278587036_1_1720508012_w{res}.jpg,경기도 수원시 팔달구 인계동,1720508012
278536322,무잔상/외관깨끗 아이폰x 배터리성능100% 블랙 64gb 판매 01782,275000,https://media.bunjang.co.kr/product/278536322_1_1720494261_w{res}.jpg,울산광역시 중구 중앙동,1720494261
278549394,19183 아이폰13 128기가 핑크 배터리효율 83% 페이스아이디x 정,424000,https://media.bunjang.co.kr/product/278549394_1_1720497970_w{res}.jpg,경기도 수원시 팔달구 인계동,1720497970
278516717,19183 아이폰13 128기가 핑크 배터리효율 83% 페이스아이디x 정,424000,https://media.bunjang.co.kr/product/278516717_1_1720488183_w{res}.jpg,경기도 수원시 팔달구 인계동,1720488183
278296501,아이폰x 블랙 64gb 30만 82421 수원,300000,https://media.bunjang.co.kr/product/278296501_1_1720414078_w{res}.jpg,경기도 수원시 팔달구 인계동,1720414078
274322954,아이폰 x 256g 블랙 정상작동 배터리 100% 팝니다,280000,https://media.bunjang.co.kr/product/274322954_1_1719041243_w{res}.jpg,대전광역시 중구 은행선화동,1720402122
278336749,19183 아이폰13 128기가 핑크 배터리효율 83% 페이스아이디x 정,424000,https://media.bunjang.co.kr/product/278336749_1_1720423609_w{res}.jpg,경기도 수원시 팔달구 인계동,1720423609
276949011,아이폰x 64g 스페이스그레이 전면후면 파손,80000,https://media.bunjang.co.kr/product/276949011_1_1719929447_w{res}.jpg,경상북도 안동시 용상동,1720264131
238989438,아이폰x(10) 256,400000,https://media.bunjang.co.kr/product/238989438_1_1720227251_w{res}.jpg,경기도 수원시 영통구 영통1동,1720227256
268693375,아이폰x 64기가 판매합니다,180000,https://media.bunjang.co.kr/product/268693375_1_1717307510_w{res}.jpg,서울특별시 강서구 화곡제6동,1720193591
260859358,[개인]아이폰x 64g 블랙 판매합니다. 배터리성능100%,160000,https://media.bunjang.co.kr/product/260859358_1_1713639553_w{res}.jpg,경기도 화성시 진안동,1720175073
273814831,아이폰x 64g 화이트(a1901) 효율89% 무잔상 판매합니다,230000,https://media.bunjang.co.kr/product/273814831_1_1719706378_w{res}.jpg,서울특별시 성동구 행당제1동,1720222038
248855788,[b급/배터리84] 아이폰13 128g 블루 #파손x #멍,332000,https://media.bunjang.co.kr/product/248855788_1_1704681239_w{res}.jpg,서울특별시 영등포구 문래동,1720146411
250743693,아이폰x 블랙 256g,210000,https://media.bunjang.co.kr/product/250743693_1_1710129420_w{res}.jpg,서울특별시 영등포구 여의동,1719897194
277046738,"아이폰x 64gb, 256gb) 전색상 등급) 감성있는 가성비폰!",260000,https://media.bunjang.co.kr/product/277046738_1_1720156177_w{res}.jpg,경기도 안산시 단원구 중앙동,1720142746
273569789,아이폰x 256 블랙 팝니다,230000,https://media.bunjang.co.kr/product/273569789_1_1718777213_w{res}.jpg,서울특별시 성북구 동선동,1719894567
276821230,아이폰x 64기가팝니다,189000,https://media.bunjang.co.kr/product/276821230_1_1719898310_w{res}.jpg,서울특별시 구로구 구로제5동,1719898310
269080951,아이폰x 64g 블랙 배터리 100%,240000,https://media.bunjang.co.kr/product/269080951_1_1717410737_w{res}.jpg,전북특별자치도 전주시 덕진구 덕진동,1720021338
276854680,아이폰x 실버 256gb (ss급),390000,https://media.bunjang.co.kr/product/276854680_1_1719906853_w{res}.jpg,서울특별시 송파구 잠실7동,1719906853
273002972,아이폰 x 스페이스그레이 64기가,200000,https://media.bunjang.co.kr/product/273002972_1_1718601016_w{res}.jpg,경기도 안양시 만안구 안양1동,1719876688
275790507,아이폰 x 64기가,100000,https://media.bunjang.co.kr/product/275790507_1_1719545858_w{res}.jpg,대전광역시 동구 자양동,1719545803
275528040,아이폰x 256gb 실버,260000,https://media.bunjang.co.kr/product/275528040_1_1719453475_w{res}.jpg,경상북도 김천시 대신동,1719453475
276353566,아이폰 x.xs 64gb.256gb  (삽니다),150000,https://media.bunjang.co.kr/product/276353566_1_1720023653_w{res}.jpg,전북특별자치도 익산시 인화동,1719727520
263384282,아이폰 x 스페이스 그레이(블랙) 128gb,200000,https://media.bunjang.co.kr/product/263384282_1_1716688112_w{res}.jpg,경기도 화성시 병점2동,1719625889
273505841,아이폰 x 64g,170000,https://media.bunjang.co.kr/product/273505841_1_1718759271_w{res}.jpg,제주특별자치도 제주시 노형동,1719027118
273166744,아이폰 x 64g a급 팝니다,200000,https://media.bunjang.co.kr/product/273166744_1_1718641404_w{res}.jpg,부산광역시 수영구 수영동,1719122139
255402081,아이폰x 64기가,190000,https://media.bunjang.co.kr/product/255402081_1_1718926964_w{res}.jpg,경상북도 포항시 남구 오천읍,1718926969
276849668,가격내림x | 아이폰13프로 256 | ss급 | 배터리 100%,800000,https://media.bunjang.co.kr/product/276849668_1_1719924072_w{res}.jpg,강원특별자치도 원주시 원인동,1719968715
259153825,34만원) 리퍼후 미사용 아이폰x 스페이스그레이 256g,430000,https://media.bunjang.co.kr/product/259153825_1_1720003318_w{res}.jpg,서울특별시 동작구 신대방제1동,1720003324
272380691,아이폰x 스페이스그레이 256g,180000,https://media.bunjang.co.kr/product/272380691_1_1718683138_w{res}.jpg,경상북도 경주시 동천동,1718842034
277202603,아이폰x 256gb(s급)실버 깨끗한공기계판매합니다.86813,330000,https://media.bunjang.co.kr/product/277202603_1_1720017899_w{res}.jpg,서울특별시 관악구 보라매동,1720017899
275358743,아이폰x 블랙 64gb 28만 48720 수원,280000,https://media.bunjang.co.kr/product/275358743_1_1719387705_w{res}.jpg,경기도 수원시 팔달구 인계동,1719387705
244422314,아이폰x 256gb 모든 기능 정상작동 배터리 효율 100%,250000,https://media.bunjang.co.kr/product/244422314_1_1718090796_w{res}.jpg,경기도 안양시 동안구 범계동,1719665880
277205923,아이폰x 64gb(a급)그레이 깨끗한공기계판매합니다.60060,270000,https://media.bunjang.co.kr/product/277205923_1_1720018864_w{res}.jpg,서울특별시 관악구 보라매동,1720018864
278962084,액정/외관깨끗 아이폰x 배터리성능 100% 블랙 64gb 25937,264000,https://media.bunjang.co.kr/product/278962084_1_1720683440_w{res}.jpg,경상남도 양산시 양주동,1720683440
