data_pid,location,price,time,title,month,brand,series,model,storage,coment
,        울산 남구 야음동      ,198000,,아이폰x 256gb,,애플,아이폰 X,X,256.0,"중고로 샀는데 2주일도 안 지나고 떨궈버려서 화면이 조금 까매졌어요..
폰 위쪽 양쪽에 까져있고 화면이 시계부분만 딱 가리게 까맣게 됐어요 

배터리 효율은 75고
용량은 256gb입니다
박스있습니다

화면도 생활기스 조금 밖에 없습니다
화면 금간 곳 없습니다
액정에 기스있는 건 폰액정이 아니라 강화필름에 난 기스입니다
페이스아이디, 녹음, 카메라, 마이크 다 문제 없습니다"
,        인천 미추홀구 숭의동      ,230000,,아이폰x 256gb,,애플,아이폰 X,X,256.0,아이폰X 배터리효율 85퍼이고 모든 기능 정상작동 합니다. 생활기스 조금있지만 눈에 띌정도로 큰 찍힘은 없습니다. 전후면 필름 다붙어있습니다! 관리잘되어 있는 폰이라고 자부합니다. 거래가능시간은 저녁 9시 이후입니다 ! 폰 단품이며 원하시면 케이스하나 같이 드려요.
,        대구 달성군 유가읍      ,190000,,아이폰x(64g),,애플,아이폰 X,X,64.0,"외부생활기스
(페이스 아이디 안됨)
기능정상 입니다
배터리 100프로🔋
전통신사 사용가능"
,        서울 송파구 풍납동      ,200000,,아이폰x 256g 판매합니다,,애플,아이폰 X,X,256.0,아이폰x 256g 판매합니다. 배터리76프로 박스있습니다.
,        서울 송파구 위례동      ,170000,,아이폰 x 256gb(쿨거네고/상태좋음),,애플,아이폰 X,X,256.0,"15pro로 바꾸면서 세컨폰으로 가지고 있다가 판매합니다.
스페이스그레이
배터리 79% (교체 이력 X)
사진과 같이 생활기스만 있고 파손 없이 깨끗합니다.
Face ID 잘 작동되고 카메라 이상 없으며 올초까지 메인폰으로 썼을만큼 무난히 사용했습니다. 
얇고 가벼운 게 장점이고
아이폰 구형 특유의 카메라 감성이 있어요

송파,성남(위례) 직거래 희망합니다.
쿨거래시 네고해드려요 채팅 주세요"
,        경기도 양주시 회천4동      ,220000,,아이폰x s급 신품급,,애플,아이폰 X,X,64.0,"아이폰X입니다 
업무폰으로 사용할려고 옛날에 사용하던거 
배터리 교체도 해놨는데 사용할려는 앱이 사용이 안된다하여 갤럭시로 갈아탈려 판매합니다 
용량은 64gb이며 기스 및 찍힘 일절없습니다 
필름 붙어있고 케이스도 하나 드립니다
구성품은 박스,충전기선,이어폰입니다
25만원에서 22만원으로 내렸습니다
배터리 성능낮은제품 구매하여 10만원돈 지불한다 생각하면 100프로 성능인 제품 구매하는것이 더 
합리적이다 생각됩니다 
직거래는 시간 상관없습니다 
연락주세여"
,        대전 대덕구 목상동      ,120000,,아이폰 x 뒤 편은  깨끗해요,,애플,아이폰 X,X,64.0,"아이폰 X 64 GB  파라요 ~
전면 유리 금감
페이스 아이디 안됨 
나머지는  모두  잘됨 
차에서  티맵으로  사용  하던 아이폰 입니다
패터리 성능  90  % 입니다.
예민 분 피해주시고요
쿨거래  하실분만 연락 주세요
판매  시    초기화 진행 할께요 30 분 정도 거래 시간 주세요 
반품  외국인 사절할께요
전면 유리 금 페이스 아이디 안되는거 다시 한번 확인 하시고
필요  하신 분만 연락 주세요...

"
,        경기도 안산시 단원구 원곡동      ,160000,,iphone x,,애플,아이폰 X,X,64.0,"64g
100% 🔋 
face id👍

충전기나 헤드폰 없음"
,        서울 강남구 신사동      ,190000,,아이폰 x (아이폰 10) 64기가,,애플,아이폰 X,X,64.0,"아이폰X  64기가 S급

-정상해지 제품
-전면, 후면 아주 깨끗
-옆면에 잘 보이지 않는 생활기스 살짝 있음 (케이스 항상 꼈는데도 있네요)
-모든 기능 정상 작동, 이상 없음
-배터리 성능 75%
-수리 이력 (사설 포함) 없음
-부속품이나 박스는 X


내일까지 거래완료 가능하신분 가격 네고해드립니다.
구매하실 분만 채팅주세요. :-)"
,        경기도 성남시 수정구 단대동      ,200000,,아이폰 x 64g상태 굿 팝니다.,,애플,아이폰 X,X,64.0,"상태는 사진과 같이 매우좋습니다 
액정 깨끗하고
전체적으로 찍힘 없습니다.
너무 민감하신분은 구매하지 마세요.
수리이력없습니다.
배터리 86프로
정상해지  공기계로 유심만 꽂으면 통신3사 및 알뜰폰 바로 사용가능합니다
젤리케이스 새거 드립니다"
,        부산 해운대구 재송제2동      ,150000,,아이폰x 256 팝니다,,애플,아이폰 X,X,256.0,"아이폰x 256팝니다
사진과 상태동일하면 기능도잘됩니다"
,        경기도 군포시 당동      ,190000,,아이폰 x 실버 64g,,애플,아이폰 X,X,64.0,"뒷면 생활기스와 아주 약간 깨짐있습니다.
액정은 사설로 새거 교체하여서 새거입니다.
트루톤, 페이스아이디 작동합니다.
배터리 성능 73%"
,        대구 수성구 중동      ,269000,,아이폰x 256기가 실버 s급,,애플,아이폰 X,X,256.0,"기종은 아이폰X이고 실버색상 256기가 입니다
배터리효율은 79% 입니다

그 흔한 앞,뒤 액정기스는 필름 잘 붙이고 다녀서 
거의 없다고 보시면 돼요 
어쩔 수 없이 생기는 옆라인 기스만 살짝 있어요 액정깨짐이나 멍 하나도 없는 상태S급입니다

당연히 페이스아이디⭕️
사설수리도 한 적 없어요

중고거래 특성상 교환,환불은 안됩니다 
참고해주시고 연락주세용"
,        경기도 고양시 일산동구 장항동      ,100000,,아이폰x 64기가 화이트 셔터음 무음 배터리93 팝니다,,애플,아이폰 X,X,64.0,"3utools 확인하니

배터리93프로네요

액정배터리수리이력있습니다

미국에서산거라 셔터음 무음 입니다

테이프
처리를 안해서 그런지 왼쪽 상단 옆 이 살짝

뜨는데 케이스 사용하심 괜찮을것같아요

기능이상 없어요"
,        부산 해운대구 좌제2동      ,170000,,아이폰x 64기가  아이폰10 64기가,,애플,아이폰 X,X,64.0,"액정 깨끗하고 배터리 86%입니다.
애플 진단기로 돌린 결과 첨부합니다.
고장없습니다.
고속충전기,케이블,방탄필름 서비스로 드립니다.
장산역 직거래 합니다."
,        경기도 남양주시 진접읍      ,150000,,아이폰x 블랙 64 배터리효율100프로,,애플,아이폰 X,X,64.0,"아이폰X 블랙 64 배터리효율100 판매합니다.
생활기스랑 액정 잔기스 살짝 있습니다.
배터리는 사설에서 바꿨습니다.
세컨폰or아이폰 예전 카메라 감성 필요하신 분 연락주세요 :)"
,        부산 사하구 장림동      ,180000,,아이폰 x 실버 64,,애플,아이폰 X,X,64.0,"아이폰 x 64 기가 입니다. 
모서리 찍힘이나 깨짐은 전혀 없습니다 :)
페이스 아이디 o 

테두리에 생활 스크래치 있으나 다른 특이사항은 없어요 
배터리 성능은 86% 입니다
케이스랑 필름도 챙겨드려요!"
,        충북 청주시 서원구 사창동      ,220000,,아이폰x 256기가 a급 배터리83%,,애플,아이폰 X,X,256.0,"페이스아이디,카메라등 모든기능 정상작동합니다.배터리 83%,256기가 입니다.생활기스외 하자없습니다.박스있습니다~
수리이력없습니다
사창사거리 거래가능합니다"
,        경기도 안산시 단원구 고잔동      ,110000,,아이폰x 실버 64g 판매,,애플,아이폰 X,X,64.0,사진용으로 사용하던 아이폰X 공기기 판매해요 액정깨끗하고 뒷면크랙있지만 케이스끼우면안보입니다 생활잔상있구요 가성비로 매우좋아요 사진잘나옵니다~~
,        서울 성북구 종암동      ,200000,,아이폰x 256g,,애플,아이폰 X,X,256.0,"아이폰X 256g 블랙
상처하나 없이 깨끗하고 잠시 필요해서 샀는데
한번쓰고 바로 내놓습니다 
필요하신분 편하게 연락주세요
배터리 수명은 73%입니다!"
,        대구 동구 효목2동      ,190000,,아이폰x,,애플,아이폰 X,X,,"아이폰x
배터리성능 70
사진 속 하자 외 없음
Face ID 사용불가

(배송비별도)"
,        대구 달성군 현풍읍      ,150000,,아이폰 iphone x 64gb,,애플,아이폰 X,X,64.0,"판매하기 위해 앞에 기스가 좀 있던 강화유리필름은 제거하였습니다. 케이스도 항상 낀 채로 사용하였지만 너무 누리끼리해져서 제거하였습니다.
​
상태 최대한 잘 나오게 사진 찍었습니다.

이어폰과 케이블은 미포함입니다.

택배거래 안합니다. 평일 6시 이후에 거래 가능하고, 예약 없이 일찍 거래 가능하신 분께 판매하겠습니다.

(사진에 워터마크는 이전에 중고나라에 올렸던 것 다시 올리는 거라서 있는겁니다. 도용사진 아닙니다.)"
,        서울 강남구 신사동      ,220000,,아이폰 x 블랙 (64기가) 판매,,애플,아이폰 X,X,64.0,"아이폰 X 블랙 (64기가) 판매 합니다.

외관에 기스 하나없이 깨끗한 폰이었는데 얼마전 한번 떨어뜨려 한쪽 모서리에 기스가 나서 판매합니다.
(당근에서 신동품급 구입 후 아이가 잠깐 사용했습니다)
마지막 사진 한쪽 모서리 부분 외 액정 및 다른 부분 매우 양호합니다.
새로 구입한 케이스도 함께 드립니다.
강남을지병원 사거리 근처에서 거래합니다."
,        서울 강서구 방화동      ,110000,,아이폰x 64기가 유리만파손,,애플,아이폰 X,X,64.0,"아이폰X 64기가입니다
배터리효율 85퍼 이구요
기능정상작동 다 잘됩니다.
사진처럼 유리만파손 된거에요
뒤판도 사진처럼 살짝 깨졌어요"
,        전북 전주시 완산구 효자5동      ,150000,,아이폰x 64g,,애플,아이폰 X,X,64.0,"아이폰X 64G 
배터리 성능 77%
카메라는 정상작동하고
화면포함 전체적으로 기스같은 사용흔적 있습니다
환불 반품 안됩니다 _ 
거래하실때 전체적으로 상태확인해주세요 ㅎ"
,        광주 서구 풍암동      ,200000,,아이폰x 64g,,애플,아이폰 X,X,64.0,"아이폰X 64g
베터리 83%
페이스아이디, 스피커, 진동, 앞 뒤 카메라 
모두 정상입니다 
앞 뒤 액정 기스 없고 상태 좋아요
찍힘 없습니다
옆면은 생활기스가 있어요
케이스 사용하면 될 거 같습니다 

평일 
9:00 ~ 18:00 광주은행본점 앞
19:00 ~ 서구 풍암동 
주말 서구 풍암동 거래 가능합니다"
,        경기도 시흥시 정왕본동      ,100000,,아이폰 x 256g (파손),,애플,아이폰 X,X,256.0,배터리74
,        경기도 성남시 분당구 이매동      ,300000,,iphone x 256gb,,애플,아이폰 X,X,256.0,"iPhone X 256GB 입니다.

5.8인치 슈퍼 레티나 디스플레이
256GB 대용량 스토리지
Face ID
듀얼 12MP 후면 카메라
A11 Bionic 칩

전체적으로 매우 양호한 상태이며, 측면에 약간의 생활기스가 있지만 기능에는 전혀 문제가 없습니다. 배터리 상태도 매우 양호(100%상태)합니다. 모든 기능이 정상 작동합니다."
