data_pid,location,price,time,title,month,brand,series,model,storage
274931154,지역정보 없음,190000,2024-06-24 20:07:57,갤럭시s10 5g 256gb 수원인근 집앞까지 가져다드림,64,삼성,갤럭시 S10,regular,256
273826430,서울특별시 성북구 동선동,110000,2024-06-24 20:04:57,갤럭시s10 5g 256 잔상폰 팝니다,64,삼성,갤럭시 S10,regular,256
242900756,경기도 부천시 원미1동,165000,2024-06-24 19:49:57,갤럭시s10 5g 256기가 팝니다,64,삼성,갤럭시 S10,regular,256
274924430,지역정보 없음,190000,2024-06-24 19:39:57,갤럭시s10 5g 256gb 수원인근 집앞까지 가져다드림,64,삼성,갤럭시 S10,regular,256
274919870,지역정보 없음,133000,2024-06-24 19:23:57,lg 갤럭시s10 블랙 128g 판매합니다,64,삼성,갤럭시 S10,regular,128
274918206,서울특별시 금천구 가산동,140000,2024-06-24 19:23:57,*정상특가*  갤럭시s105g  256기가  5091828,64,삼성,갤럭시 S10,regular,256
274919104,지역정보 없음,153000,2024-06-24 19:23:57,lg 갤럭시s10 5g 실버 256g a급 판매합니다,64,삼성,갤럭시 S10,regular,256
274918767,지역정보 없음,143000,2024-06-24 19:23:57,kt 갤럭시s10e 블랙 128g a급 판매합니다,64,삼성,갤럭시 S10,e,128
271008580,인천광역시 남구 주안1동,110000,2024-06-24 19:23:57,갤럭시s10 128기가 그린 *가성비굿굿~/#88406,64,삼성,갤럭시 S10,regular,128
270194145,지역정보 없음,200000,2024-06-24 19:23:57,갤럭시 s10 5g 256기가 s급 끝판왕,64,삼성,갤럭시 S10,regular,256
274903662,서울특별시 금천구 가산동,125000,2024-06-24 18:23:57,*특가처분*  갤럭시s10플러스  128기가  1384215,64,삼성,갤럭시 S10,plus,128
274590892,지역정보 없음,110000,2024-06-24 18:23:57,삼성 갤럭시 s10 5g 256gb,64,삼성,갤럭시 S10,regular,256
274897975,지역정보 없음,180000,2024-06-24 18:23:57,갤럭시s10플러스 256gb 수원인근 집앞까지 가져다드림,64,삼성,갤럭시 S10,plus,256
274901231,지역정보 없음,152000,2024-06-24 18:23:57,[할인행사중]테두리s급/s10 5g 256/무잔상/블랙/갤럭시/256g,64,삼성,갤럭시 S10,regular,256
271679270,전라남도 여수시 광림동,50000,2024-06-24 18:23:57,갤럭시 s10  5g  512gb 액정파손폰,64,삼성,갤럭시 S10,regular,512
274889895,지역정보 없음,190000,2024-06-24 17:23:57,갤럭시s10 5g 256gb 수원인근 집앞까지 가져다드림,64,삼성,갤럭시 S10,regular,256
268587620,경기도 안산시 단원구 중앙동,168000,2024-06-24 18:23:57,갤럭시 s10 5g 골드 256기가 skt 단품,64,삼성,갤럭시 S10,regular,256
258419536,울산광역시 남구 신정5동,240000,2024-06-24 18:23:57,갤럭시s10 5g (g977) 256기가 실버 무잔상 aaa급,64,삼성,갤럭시 S10,regular,256
274831999,지역정보 없음,165000,2024-06-24 15:23:57,갤럭시s10 5g 512g,64,삼성,갤럭시 S10,regular,512
