data_pid,location,price,time,title,month,brand,series,model,storage
273826430,서울특별시 성북구 동선동,110000,2024-06-24 20:04:57,갤럭시s10 5g 256 잔상폰 팝니다,64,삼성,갤럭시 S10,regular,256
242900756,경기도 부천시 원미1동,165000,2024-06-24 19:49:57,갤럭시s10 5g 256기가 팝니다,64,삼성,갤럭시 S10,regular,256
274918206,서울특별시 금천구 가산동,140000,2024-06-24 19:23:57,*정상특가*  갤럭시s105g  256기가  5091828,64,삼성,갤럭시 S10,regular,256
271008580,인천광역시 남구 주안1동,110000,2024-06-24 19:23:57,갤럭시s10 128기가 그린 *가성비굿굿~/#88406,64,삼성,갤럭시 S10,regular,128
274903662,서울특별시 금천구 가산동,125000,2024-06-24 18:23:57,*특가처분*  갤럭시s10플러스  128기가  1384215,64,삼성,갤럭시 S10,plus,128
271679270,전라남도 여수시 광림동,50000,2024-06-24 18:23:57,갤럭시 s10  5g  512gb 액정파손폰,64,삼성,갤럭시 S10,regular,512
268587620,경기도 안산시 단원구 중앙동,168000,2024-06-24 18:23:57,갤럭시 s10 5g 골드 256기가 skt 단품,64,삼성,갤럭시 S10,regular,256
258419536,울산광역시 남구 신정5동,240000,2024-06-24 18:23:57,갤럭시s10 5g (g977) 256기가 실버 무잔상 aaa급,64,삼성,갤럭시 S10,regular,256
262639873,대전광역시 중구 산성동,190000,2024-06-24 17:23:57,갤럭시s10 5g g977 실버 256기가 정상해지,64,삼성,갤럭시 S10,regular,256
274851316,경기도 김포시 풍무동,215000,2024-06-24 15:23:57,1갤럭시s10 128g무잔상 중고폰 싸게팝니다 상태굿,64,삼성,갤럭시 S10,regular,128
271339813,경기도 안산시 상록구 사동,133000,2024-06-24 16:23:57,갤럭시s10 화이트 128g 판매합니다-외관a,64,삼성,갤럭시 S10,regular,128
261841109,경기도 수원시 팔달구 인계동,205000,2024-06-24 15:23:57,삼성갤럭시s10 128기가 화이트,64,삼성,갤럭시 S10,regular,128
268118612,인천광역시 남동구 만수2동,170000,2024-06-24 15:23:57,갤럭시s10 128g 블랙 판매합니다,64,삼성,갤럭시 S10,regular,128
274040390,서울특별시 중랑구 면목본동,150000,2024-06-24 15:23:57,삼성 갤럭시 s10 자급제 128gb 듀얼심,64,삼성,갤럭시 S10,regular,128
255844439,부산광역시 남구 문현제4동,160000,2024-06-24 15:23:57,갤럭시 s10e 블랙 128gb 판매합니다.,64,삼성,갤럭시 S10,e,128
260045890,울산광역시 남구 신정5동,220000,2024-06-24 15:23:57,갤럭시s10플러스 (g975) 512기가 대용량 화이트 a급,64,삼성,갤럭시 S10,plus,512
274756087,서울특별시 동작구 상도제2동,85000,2024-06-24 11:23:57,갤럭시s10 512기가,64,삼성,갤럭시 S10,regular,512
274800708,서울특별시 마포구 도화동,180000,2024-06-24 10:23:57,갤럭시 s10플러스 128g 블랙 [무잔상] 판매합니다,64,삼성,갤럭시 S10,plus,128
274812656,울산광역시 중구 중앙동,187000,2024-06-24 11:23:57,대용량 512gb 갤럭시s10 (g973) 블랙 판매 01422,64,삼성,갤럭시 S10,regular,512
274801382,서울특별시 성동구 사근동,165000,2024-06-24 10:23:57,서울 갤럭시 s10e (g970) 블랙 128기가 a급 팝니다.,64,삼성,갤럭시 S10,e,128
274796773,서울특별시 성동구 사근동,150000,2024-06-24 10:23:57,서울 갤럭시 s10 5g lte 가능(g977) 256 블랙 팝니다.,64,삼성,갤럭시 S10,e,256
274818882,울산광역시 중구 중앙동,231000,2024-06-24 12:23:57,액정깨끗 갤럭시s10 5g (g977) 골드 256gb 판매 16574,64,삼성,갤럭시 S10,regular,256
274818358,울산광역시 중구 중앙동,231000,2024-06-24 12:23:57,액정/외관깨끗 갤럭시s10 5g (g977) 실버 256gb 23453,64,삼성,갤럭시 S10,regular,256
274806497,경기도 수원시 팔달구 인계동,220000,2024-06-24 11:23:57,갤럭시s10 g973 sk 핑크 128gb 22만 10990 수원,64,삼성,갤럭시 S10,regular,128
274832016,울산광역시 중구 중앙동,231000,2024-06-24 13:23:57,액정/외관깨끗 갤럭시s10 5g (g977) 골드 256gb 01510,64,삼성,갤럭시 S10,regular,256
274824051,울산광역시 중구 중앙동,209000,2024-06-24 12:23:57,기능정상 갤럭시s10 5g (g997) 실버 256gb 판매 17799,64,삼성,갤럭시 S10,regular,256
274796359,서울특별시 성동구 사근동,160000,2024-06-24 10:23:57,서울 갤럭시 s10e (g970) 블랙 128기가 a급 팝니다.,64,삼성,갤럭시 S10,e,128
274817646,경기도 수원시 팔달구 인계동,190000,2024-06-24 12:23:57,갤럭시s10 g973 lg 화이트 128gb 19만 02523 수원,64,삼성,갤럭시 S10,regular,128
274818525,울산광역시 중구 중앙동,209000,2024-06-24 12:23:59,램8gb 갤럭시s10 5g (g977) 실버 256gb 판매 01508,64,삼성,갤럭시 S10,regular,256
