title,coment,region,price
배달용 자석 케이스(갤럭시노트20울트라),"배달용 충전 자석 케이스임니다.
충전 다 잘됩니다.
갤럭시 노트20 울트라전용

방수케이스도 있다만 충전은 안됩니다 
필요하시다면 만원 더주시면 같이 판매하겠습니다.","
        대구 남구 대명10동
      ","
        10,000원
      "
갤럭시워치스트랩 산리오 시나모롤,"갤럭시 워치 스트랩 20mm 
산리오 시나모롤 패턴

미개봉 새상품입니다

✔️ 잠실동교회 인근 직거래 또는 문고리거래 가능
✔️ GS반값택배(+2000) 가능  ","
        서울 송파구 석촌동
      ","
        6,000원
      "
삼성 겔럭시 노트20울트라 깨끗해요 케이스새거 필름새거 충전기새거 신림역거래 입니당,삼성 겔럭시 노트20울트라 깨끗해요 케이스새거 필름새거 충전기새거 신림역거래 입니당,"
        서울 관악구 신림동
      ","
        380,000원
      "
삼성 갤럭시 노트20  256GB 중고폰 판매,"삼성 노트20 256GB 블랙 입니다
정상해지되어 어느 통신사든 사용 가능 합니다
알뜰폰도 가능 합니다 
구성은 본체 + 일반 필름 입니다 
생활기스 있어요 
상태는 상급입니다","
        전남 여수시 여서동
      ","
        200,000원
      "
갤럭시 S20fe 5G  128기가 a급 판매 합니다,"갤럭시 S20FE 128기가 팝니다
Storage 128기가 
Memory 6기가
화면에 잔상 없습니다
기능 이상없고 상태 좋습니다
Sk, Kt, Lg, 알뜰폰 사용가능합니다

직거래 가능합니다 :)","
        서울 도봉구 도봉제1동
      ","
        160,000원
      "
갤럭시노트20 A+급 판매//NO잔상폰,"갤럭시노트20 A+급 판매//NO잔상폰 

갤럭시노트20 A+급 판매합니다.
256기가입니다. 초기통신사 SK구요
정상해지되어서 유심만꼽으면 개통가능!
선불폰,알뜰폰 사용가능!

색이나 핸드폰 상태는 사진보시구요
좌측하단 테두리베젤부분 긁힘제외하면
깔끔합니다. S펜 당연히 정상 사용가능합니다

보증기간은 끝났구요. 잔상 없습니다
액정기스없습니다. 케이스 드립니다!

강화유리보호필름 20매드립니다!
케이스도 3종류 드리겠습니다!
오래사용하려고 비싼돈들여 강화유리필름 20매
샀는데 퀀텀4로 바꾸게되어 판매합니다.

가격은 240,000원 입니다
직거래/택배 다 가능하구요. 직거래는
평택터미널 근처에서 가능합니다! 

연락주세요~","
        경기도 평택시 신평동
      ","
        240,000원
      "
갤럭시 노트20 울트라 강화유리,"기종을 잘못주문했네요…
갤럭시 노트 20 울트라

반값보다 저렴하게 팝니다
저렴이 아니고 풀커버에 9H 강화유리입니다","
        경남 창원시 마산회원구 내서읍
      ","
        7,000원
      "
갤럭시S20,"사진 확인하시면 아시겠지만 전체적으로 깨끗합니다
액정유리에 초기필름도 아직 붙어있습니다
잔상없고요
기능 잘돌아가고 모든통신사호환됩니다
무선충전도 되고 휴대폰크기도 그렇게 크지않아서 
손 작으신분들이나 작은폰. 원하시는 분께도 추천드려요
실사용은 2년했습니다 정상해지후에 나중에 쓰려고 집에 보관만했다가 판매하려고 내놓습니다","
        강원도 춘천시 신사우동
      ","
        190,000원
      "
갤럭시 S20 5G A급,"찍힘 기스 없음
액정 깨끗
정상해지
기능 정상작동
최초개통 20.12.25  KT","
        강원도 춘천시 약사동
      ","
        190,000원
      "
갤럭시s20울트라 카메라 보호 케이스,팝니다. 네고 안되요 카메라보호 되는 케이스입니다. ,"
        전남 나주시 빛가람동
      ","
        10,000원
      "
* 구해요*충전 단자 고장이나  잔상 있는 갤럭시 노트20 구해요.,"충전 단자 고장이나 잔상 있는 노트20 구해요. 

5만원에 삽니다. (적당히 협의 가능) 


*전체 깨짐 없음* 

폰 사진 보내주세요. 

문고리 거래 가능","
        서울 관악구 봉천동
      ","
        50,000원
      "
갤럭시 s20울트라  핸드폰,"핸드폰 기기변경으로 판매합니다
상태는 사진 과 같구요
단점
액정 크랙 및 사진 줌 기능 오작동

다른기능은 
아직 양호합니다
필요하신분께  판매합니다","
        경남 창원시 성산구 신월동
      ","
        120,000원
      "
갤럭시s20,갤럭시s20 128기가 상태A,"
        대구 북구 태전2동
      ","
        200,000원
      "
급구요! 깨짐 없는 갤럭시 노트20 하나 구해요.,"안녕하세요~
노트20 업무용 하나 구해요

*정상작동 하고 깨짐 없으면 됩니다. 

사당역/서울대입구역/낙성대역/신림역/붕천역.....
계신 곳으로 가도 됩니다 ~

10만원에 현금 쿨거래 
*편하게 연락주세요. *문고리 거래 가능","
        서울 관악구 봉천동
      ","
        100,000원
      "
