title,coment,region,price
갤럭시s23울트라카드케이스,"갤럭시s23울트라 카드케이스

사용흔적있습니다
케이스는 튼튼합니다

사진잘보시고 챗주세요

구매후 환불. 반품 안됩니다","
        충남 천안시 동남구 청수동
      ","
        5,000원
      "
외관 A급 💖 갤럭시 S21+ 256 블랙 팝니다,"갤럭시 S21+ 256기가 블랙입니다☺️
통신사 SK 사용했었고 정상해지해서 유심만 끼면 바로 사용 가능한 공기계에요~

액정 전체적으로 깨끗하고 사이드 말끔합니다.
마지막 사진 보시면 잔상 옅은 정도로 있어 저렴하게 내놔요. 다크모드 사용하면 불편함 없이 쓸 수 있어요

디바이스 케어 완벽하다고 뜨는 상태 좋은 폰이에요 :) 기능 상 문제 전혀 없습니다.

네고 연락 안받습니다 64341","
        경기도 파주시 목동동
      ","
        250,000원
      "
A급 💖 갤럭시 S23 울트라 256 블랙 💖,"갤럭시 S23 울트라 256기가 블랙입니다

23.03.07. SK 구매해서 정상해지, 초기화 시켜뒀어요😊 모든 통신사, 알뜰폰 사용 가능합니다. IMEI 사진 올렸으니 선약 조회해보세요~ 내년 3월까지 무상보증도 넉넉하게 가능합니당

까지거나 칠 벗겨진 부분 없이 외관 깨끗하구요
액정 너무 깨끗한데 마지막 사진에만 작은 찍힘있어요 ㅠㅠ 이외 하자 전혀 없이 깨끗합니당

고장, 수리 이력은 당연히 전혀 없는 폰이에요.
기기 단품에 필름, 케이스 통신사에서 받은 새걸로 동봉해드릴게요

네고 문의 차단합니다. 86115","
        서울 강서구 방화제3동
      ","
        780,000원
      "
A급 🎀 갤럭시 S22+ 256 그린 🎀,"갤럭시 S22+ 256기가 그린입니다☺️
SK 22.05.27. 구매했구요 정상해지 되어있어서 유심만 끼면 바로 사용 가능해요~

액정 전체적으로 깨끗하고 디바이스 케어 완벽하다고 뜨는 상태 좋은 폰이에요 :) 기능 상 문제 전혀 없습니다. 잔상도 없고 아주 깨끗해요. 옆면에 칠 벗겨진 흔적 정도의 사용감만 약간 있어요

투명케이스 통신사에서 받아둔 새걸로 동봉해드려요
네고 연락 안받습니다 40609","
        서울 강서구 방화동
      ","
        380,000원
      "
갤럭시 S20 5G A급,"찍힘 기스 없음
액정 깨끗
정상해지
기능 정상작동
최초개통 20.12.25  KT","
        강원도 춘천시 약사동
      ","
        190,000원
      "
갤럭시 s7fe wifi 64GB 새상품,"갤럭시 s7fe 미사용 새상품
실만 개봉된 새상품입니다
SM-T733 색상: 미스틱실버
wifi 입니다 64GB입니다 
편하게 문의주세요 가격내립니다!
쿨거래시 스탠딩 정품케이스 같이드려요
거리조율은 서로 협의할게요","
        대구 중구 삼덕동2가
      ","
        330,000원
      "
갤럭시 S22 울트라 팔아요 상태 매우좋음,"갤럭시 S22울트라256기가 크림색

밑에 한쪽 모서리 찍힘 쪼금있습니다
그외에 앞액정 뒷판 테두리 카메라액정 
기스없이 깨끗합니다 
(위면테두리는 필림 아직 붙어있어요)
사진 화질 기가막혀요(100배줌가능)
잔상 아예 없고 정상해지된폰이라
사진에 올린것처럼 25%선택약정 가능합니다

구성품은 사진에있는 필름 비싼거 드려요~

궁금한건 물어보세요
","
        서울 은평구 신사제1동
      ","
        470,000원
      "
갤럭시S21 5G 256g,"공기계 상태이구요.
아주 작은 생활기스는 있지만
찍힘이나 큰 기스없이 상태 좋습니다.
5번 사진에서 상단 오른쪽 점으로 보이는게
제일 큰 기스입니다.
화면엔 보호필름이 있어 기스는 전혀 없구요.
원하시면 젤리케이스 같이 드립니다.
거래는 롯데캐슬에서 합니다.","
        강원도 속초시 동명동
      ","
        250,000원
      "
갤럭시탭 S9+ 플러스,"갤럭시탭 S9+ 플러스 256기가 와이파이 팝니다

구매한지 2주밖에 안됐습니다

24년 4월제조 
24년 6월 12일구매 했습니다

6월 15일기준 삼성케어 플러스 가입 가능기간 58일 남았던거 첨부해서 올립니다

필름은 정품 AR보호필름 부착되어 있습니다","
        충남 천안시 서북구 성정2동
      ","
        850,000원
      "
갤럭시탭s8 울트라 128wifi모델 (2개월사용) 거의새거,"펜슬 촉4개, 정품s펜(3회사용), 펜케이스, 정품케이스(북커버x), 현재 착용되어있는 뷰씨북커버까지 드립니다. 
기스는 마지막 사진에 아주 작은 까짐이 있습니다 그외 하자없음.
찍힘, 화면이상 일절 없으며 필름은 종이질감나는 필름 붙어있습니다. 
필름만 새걸로 교체하시면 완전 새거입니다. 
사용기간은 총2개월이지만 실사용은 한달 안될겁니다. 집에서 유튜브보는 용도로만 거의 사용했습니다","
        경기도 의왕시 오전동
      ","
        750,000원
      "
