title,coment,region,price
갤럭시s22+ 그린 판매합니다,갤럭시s22+ 그린 판매합니다,"
        대구 동구 검사동
      ","
        330,000원
      "
갤럭시 탭 S6 2023/03 제조,"풀박스에 키보드커버 케이스 같이 드립니다
깨끗한 패드입니다","
        서울 마포구 신수동
      ","
        260,000원
      "
갤럭시S22 블랙 256기가,"갤럭시 S22 256기가 팝니다.
액정은 계속 필름 붙이고 있어서 지금 뜯어보니
 기스 없습니다. 화면은 깨끗해요!

테두리만 기스 있고 사용흔적 있어요.
22년 4월에 구매했으며, 작동 잘 됩니다.

네고는 불가합니다. 죄송합니다.","
        경기도 화성시 동탄1동
      ","
        290,000원
      "
"(재당근)갤럭시탭s3 32기가 wifi 인강, 동영상용 추천","8만원에삿는데 6만원에올려요 
인강용으로 세번정도 썻는데 거즌 상태 그대로에요","
        충남 천안시 동남구 봉명동
      ","
        60,000원
      "
삼성 갤럭시S22 플러스 팔아요,"용량 256기가 
상태 좋아요
기능 문제 없고요
터치 잘됩니다 
유심 기고 바로 사용 가능합니다","
        경기도 김포시 장기동
      ","
        380,000원
      "
갤럭시S24울트라256기가 자급제 블랙색상 미개봉 새제품 팝니다 가격내림,"제목처럼 자급제폰 미개봉새제품입니다

사용하려구 구매했는데   폴드6출시되면 폴드로가려고판매합니다 

업자아니구개인입니다 

공릉동 삼익1차아파트근처서 거래합니당
근처에서 가게를하구있어용 폰가게아니구요ㅎㅎ","
        서울 노원구 공릉2동
      ","
        130만원
      "
갤럭시 S9+ 팝니다,"갤럭시 S9+ 입니다

전면 후면이 깨졌습니다

겉에 필름이 붙어 있고

터치는 잘됩니다

부품용으로 사용하실 분이

구입하시면 좋을 것 같습니다","
        서울 관악구 난곡동
      ","
        30,000원
      "
갤럭시 s9,"갤럭시 s9 액정 기스있음
잔상있음
뒷판 깨짐
부품용으로 쓰실 분~~","
        충남 천안시 서북구 백석동
      ","
        40,000원
      "
갤럭시 S22 화이트 256GB 팝니다.,"갤럭시 S22 256GB 화이트

2년정도 사용하였고, 지금은 정상해지 되어있습니다 

사용하면서 강화필름을 붙이고 다녀서 액정에는 이상 없습니다.

외관은 아래쪽 생활기스 말고는 다른곳은 이상없습니다

카드 두개 수납가능한 새 젤리 케이스도 같이 드리겠습니다.

이 외에 궁금한점 있으면 언제든지 문의주세요

추가적으로 원하시는 사진 있으면 더 보내줄수 있습니다

만약 구매하게 되면 교환, 환불은 어려울거 같으니 신중하게 구매를 해주셨으면 좋겠습니다.","
        대구 동구 봉무동
      ","
        320,000원
      "
갤럭시s10 팝니다,"128기가 핑크색
모서리부분 스크레치 찍힘 
조금씩있어요
액정화면에 잔상은 없는데
작은 점 하나 있습니다
사진참고해주세요","
        부산 금정구 장전제3동
      ","
        100,000원
      "
갤럭시탭 s9 미개봉 새상품 wifi 128g 그라파이트,갤럭시탭 s9 미개봉 새상품 wifi 128g 그라파이트,"
        경기도 용인시 기흥구 구갈동
      ","
        700,000원
      "
갤럭시탭 s8 128gb 모델 삽니다,55만원 이하로 구해봅니다.,"
        경기도 성남시 중원구 성남동
      ","
        나눔🧡
      "
갤럭시s24 256g팝니다,"잔상이나 기스 없어요
사자마자 케이스끼고 사용해서 기스없습니다","
        강원도 원주시 봉산동
      ","
        700,000원
      "
