title,coment,region,price
아이폰 13미니케이스 팔아요,핸드폰을 바꿔서 빨리처분원해요  한번에 구매하시면 만원에 다 드릴게요 1번 반투명케이스 3000원 2번 케이스티파이 12000원 판매완료 3번 로즈메탈케이스 4000원 4번 헬로키티케이스 3000원  5번 맹구케이스 3000원,        경기도 광주시 송정동      ,100
아이폰13 128,아이폰 13  128기가 화이트색상입니다 선택약정 가능하며 쓰시던유심 그대로 끼워서 바로 사용 가능한 공기계입니다 배터리 효율 90퍼센트로 아주 좋습니다 내부 모든기능 정상 입니다 액정 기스 찍힘 없습니다 테두리 찍힘이 좀 있어서 싸게올립니다  빨리가져가셔요,        서울 노원구 상계6.7동      ,440000
아이폰13프로 시에라블루 256g 배터리91,"아이폰13프로 256g 정상해지 팝니다  충전기제외 풀박스  수리이력 정식 및 사설 일절없음  외관 항시 케이스및 필름 부착하여 좋음  배터리초기화전 91퍼, 현재 초기화하여 세팅해야  재확인 가능함  독산역 직거래 선호  중고거래 특성상 교환 및 환불 불가  ",        서울 금천구 독산제1동      ,720000
아이폰 13 128기가,아이폰 13 128기가 미드나잇 색상 입니다 배터리효율85퍼센트 짱짱해요 선택약정가능한 공기계입니다 쓰던유심 끼우시고 바로사용 가능하세요 내부 모든기능 정상입니다 외관상태도 전체적으로 깨끗합니다 구성품은 기기랑 미사용필름 미사용 투명케이스같이드려요 문의주세요,        서울 노원구 상계6.7동      ,480000
아이폰13 프로맥스 케이스 케이스티파이,케이스티파이  아이폰13 프로맥스 맥세이프  잔기스 있으나 찍히거나 파손 부위는 없습니다,        경기도 김포시 장기본동      ,20000
아이폰13 128기가 미드나잇 팔아여,"<통신사 3사 전부 사용가능> 유심기변용!!! 정상 공기계 에요  100% 실사!!!!!! 기능 이상 없어요!!!! 구매시 필름,케이스 드려요!!!  중고거래 특성상 교환&환불 어려워요 신중한 구매결정 해주세요😊  직거래는 김포 사우역 3번출구 &                 사우동주민센터 가능해요!!! ",        경기도 김포시 사우동      ,470000
아이폰 13프로맥스 셔터음 무음 자급제 팝니다,사진처럼 상태 좋습니다  128기가 배터리86프로  수리이력없고 액정기스없고 깨끗합니다  궁금하신건 따로 문의주세요,        경기도 파주시 탄현면      ,700000
아이폰13미니128팝니다,정상해지된 상태입니다 유심만 꽂아 사용하시면 됩니다,        전남 광양시 중동      ,400000
아이폰 13 프로 256g 선약가능 풀박스,배터리성능 84프로이며 외관상태 좋습니다  사진상 지문자국보이나 앞뒷판은 아주깨끗하며 테두리에도 눈에띄는 기스나손상없습니다. 카메라에 필름붙여놓은상태인데 원하시면 떼어드립니다.  선택약정 가능하며 박스 및 미사용 케이블 포함입니다.  저렴하게올려요.,        대전 대덕구 대화동      ,670000
아이폰13미니256기가,밧데리 87% 아래부분 찍힘 있어요 케이스 끼시면 괜찮을거같네요 기계는 단품입니다,        서울 성동구 성수2가제3동      ,450000
아이폰 13프로 128기가 골드색상 팝니다,아이폰 13프로 128기가 골드색상 수리 이력x 배터리 성능85% 다른 기기 기능에는 문제가 없지만 화면을 키면 아래 줄 하나가 보입니다 그거 가만 하여 네고 가능 하니 연락 주세요,        경기도 안양시 동안구 관양동      ,550000
아이폰13미니 그린 128gb,"서브폰으로 사용하던폰이라 거의사용감없고 케이스는항상 끼워져있어서 엄청깨끗하게 사용했다고말씀드릴수있습니다. 미세 찍힘이나, 기스도없이 아주 좋은상태입니다. 핸드폰은 거의 사용안한거라고보시면되고 워치연결하려고 사용한폰입니다. 풀박스가지고있어 새것같은느낌으로 사용하시면됩니다. 배터리 86%이고 직거래 상도역 가능합니다.",        서울 동작구 상도1동      ,530000
아이폰 13 레드 128기가,아이폰 13 레드 128기가 판매합니다  2021년도 구매하였고  수리 및 파손 일절없습니다 배터리도 하루 사용하시긴 충분합니다 풀박스 있구요 필요하시면 같이들어있던  충전기도 같이 드리겠습니다 케이스도 필요하시면 드리겠습니다  쿨거시 네고가능하고 성능 하자없고 깨진곳 하나 없습니다 연락 많이 주세요,        경남 창원시 성산구 상남동      ,580000
