data_pid,location,price,time,title,month,brand,series,model,storage,coment
,        전북 전주시 완산구 삼천동1가      ,250000,,화이트아이폰11 (64기가 배터리81프로),,애플,아이폰 11,pro,64,"생활기스나 깨짐은 있으나 심하지않고 사용에 이상은 없고 새거처럼 잘되니 팝니다 배터리 성능81
64기가 구여 영락주세용
에눌가능"
,        서울 양천구 신정동      ,300000,,아이폰 11프로 256gb 스페이스그레이,,애플,아이폰 11,pro,256,"아이폰 11프로 256GB
액정 공식 AS 1회, 공식 배터리교체, 사설 액정수리 1회
배터리 87%
필름 케이스 사용으로  상태좋고, 흠집, 기스 거의 없음. 
"
,        광주 북구 매곡동      ,200000,,아이폰 11 64gb,,애플,아이폰 11,regular,64,"배터리 성능 71 
찍힘 및 기스 사진 확인하시면 됩니다
카메라 전면후면 모두 정상작동하고 
충전단자 고장으로 무선충전기로만 충전가능합니다
단자 수리 사설업체 5만원이면 가능하다고 들었습니다
유심꼽고 바로 사용 가능합니다
가까우면 가져다 드리겠습니다"
,        서울 동작구 상도제1동      ,519000,,아이폰 11프로 맥스,,애플,아이폰 11,pro max,512,"용량은 512기가고 거의 쌔거입니다 화면 깨진거는 액정이고 옆면에 흠집하나 없습니다 정말 깨끗해요
베터리는 83퍼입니다"
,        서울 종로구 종로1가      ,330000,,아이폰 11프로 256기가 무음카메라,,애플,아이폰 11,pro,256,"아이폰 11프로 256기가 입니다 :) 

무음카메라에요! 

배터리는 81프로입니다
사진 자세히 올려놨으니 봐주셔요
기기단품입니다!

*중고거래 특성상 교환 환불 불가능합니다
*매너있는거래해요 😊"
,        인천 서구 청라3동      ,400000,,아이폰 11 pro 화이트 256기가 크트,,애플,아이폰 11,pro,256,배터리성능 100% 팔아요
,        대구 달성군 유가읍      ,380000,,아이폰11프로(256g)(a급),,애플,아이폰 11,pro,256,"액정깨끗합니다
테두리생활기스 한곳
깨끗합니다
🔋 배터리93%
전통신사 사용가능"
,        경기도 남양주시 다산동      ,200000,,아이폰11 64g,,애플,아이폰 11,regular,64,"배터리효율 74
외관은 나름 깨끗하게 사용했습니다!
직접 확인하시고 구매하세요!"
,        충남 천안시 서북구 불당동      ,370000,,아이폰 11 128g 리퍼 새제품 배터리 100%,,애플,아이폰 11,regular,128,"아이폰 11 128g 리퍼 새제품 배터리 100%

67만원 리퍼 받았습니다

케이스 서비스로 드립니다"
,        대전 유성구 전민동      ,200000,,아이폰11 64gb,,애플,아이폰 11,regular,64,"배터리성능 76%입니다
기스나 깨진부분도 없습니다"
,        서울 은평구 구산동      ,350000,,아이폰 11pro 256gb 스페이스 그레이,,애플,아이폰 11,pro,256,"색상 : 스페이스 그레이
용량 : 256GB
상태 : 공기계/새 상품급
배터리 성능 : 83%
구성 : 본체, 케이블1,실리콘 케이스

FACE ID, 카메라 등 모든 기능 이상 없고 구매하자마자 케이스/필름 붙이고 사용해서
깨끗해요.

일과시간은 구파발역 스타벅스 앞
18시이후는 구산역 인근 직거래 선호합니다.
좋은 거래 기대해봅니다."
,        인천 남동구 구월동      ,420000,,아이폰11프로 256기가 실버 팝니다,,애플,아이폰 11,pro,256,"네고문의는 안받습니다 

액정 깨끗합니다
뒷면 깨끗합니다
테두리 찍힘없고 티안나는
사용감 살짝 있습니다

배터리 정품으로 수리내역있습니다
배터리 짱짱 100프로입니다
구성품없고 핸드폰만 있습니다

중고폰 특성상 교환X 환불 X

구월2동 거래합니다 "
