title,coment,region,price
아이폰 11 케이스 5종+필름,전체 천원에 팔아요,"
        강원도 동해시 동회동
      ","
        나눔🧡
      "
화이트아이폰11 (64기가 배터리81프로),"생활기스나 깨짐은 있으나 심하지않고 사용에 이상은 없고 새거처럼 잘되니 팝니다 배터리 성능81
64기가 구여 영락주세용
에눌가능","
        전북 전주시 완산구 삼천동1가
      ","
        250,000원
      "
아이폰 11프로 256GB 스페이스그레이,"아이폰 11프로 256GB
액정 공식 AS 1회, 공식 배터리교체, 사설 액정수리 1회
배터리 87%
필름 케이스 사용으로  상태좋고, 흠집, 기스 거의 없음. 
","
        서울 양천구 신정동
      ","
        300,000원
      "
아이폰 11 64gb,"배터리 성능 71 
찍힘 및 기스 사진 확인하시면 됩니다
카메라 전면후면 모두 정상작동하고 
충전단자 고장으로 무선충전기로만 충전가능합니다
단자 수리 사설업체 5만원이면 가능하다고 들었습니다
유심꼽고 바로 사용 가능합니다
가까우면 가져다 드리겠습니다","
        광주 북구 매곡동
      ","
        200,000원
      "
아이패드5+아이폰11 교환할분,"안녕하세요.
제 판매상품중 아이폰11+아이패드5세대로 아이폰12이상 교환원합니다.
관심있으시면연락주세요.
감사합니다.","
        충남 천안시 서북구 성정1동
      ","
        1원
      "
아이폰 11프로 맥스,"용량은 512기가고 거의 쌔거입니다 화면 깨진거는 액정이고 옆면에 흠집하나 없습니다 정말 깨끗해요
베터리는 83퍼입니다","
        서울 동작구 상도제1동
      ","
        519,000원
      "
아이폰11프로 듀얼심폰으로 교환요망,"아이폰11프로 256GB 구성품은 핸드폰+박스 , 배터리 76％ , 외관상태는 양호한편인데 필림사용을안해서 액정에 기스는 어느정도있습니다, +추가금으로 물리듀얼심 지원하는 아이폰11이상 갤럭시S20이상 교환원합니다.","
        서울 송파구 방이2동
      ","
        가격없음
      "
나눔. 아이폰11. 케이스,"나눔
선착순","
        부산 해운대구 좌동
      ","
        나눔🧡
      "
아이폰 11 폰케이스 판매,"1. 스누피 1000원 (새상품)

2. 아보카도 1000원 (1회 사용 후 넣어둠)
아보카도 스트랩으로 숄더나 크로스로 길게 맬 수 있음

3. 남색 무광젤리 1000원 (새상품)

+) 액정필름 1000원 (새상품)
1~3번 중 2개 이상 구매시 무료증정 / 개별판매도 가능","
        서울 광진구 자양동
      ","
        1,000원
      "
아이폰 11프로 256기가 무음카메라,"아이폰 11프로 256기가 입니다 :) 

무음카메라에요! 

배터리는 81프로입니다
사진 자세히 올려놨으니 봐주셔요
기기단품입니다!

*중고거래 특성상 교환 환불 불가능합니다
*매너있는거래해요 😊","
        서울 종로구 종로1가
      ","
        330,000원
      "
"아이폰 11프로,맥스 12프로,맥스 구매합니다. 256GB이상","아이폰 11프로,맥스 12프로,맥스 구매합니다.

조카에게 선물할 핸드폰을 보고 있습니다.

용량은 256,512를 구매하고

사진 및 상태 , 수리이력 등 상세내용과 판매 희망가격을 함께 당근주세요~

계신 곳까지 되도록 당일 구매 가능합니다.","
        경기도 파주시 금촌동
      ","
        1,234원
      "
아이폰11 투명케이스 팔아요,"아이폰 11 젤리 케이스 팔아요~
직거래 원종사거리에 원해요!","
        경기도 부천시 원종동
      ","
        2,000원
      "
아이폰 11 pro 화이트 256기가 크트,배터리성능 100% 팔아요,"
        인천 서구 청라3동
      ","
        400,000원
      "
아이폰11프로(256G)(A급),"액정깨끗합니다
테두리생활기스 한곳
깨끗합니다
🔋 배터리93%
전통신사 사용가능","
        대구 달성군 유가읍
      ","
        380,000원
      "
아이폰11 64g,"배터리효율 74
외관은 나름 깨끗하게 사용했습니다!
직접 확인하시고 구매하세요!","
        경기도 남양주시 다산동
      ","
        200,000원
      "
아이폰 11 128g 리퍼 새제품 배터리 100%,"아이폰 11 128g 리퍼 새제품 배터리 100%

67만원 리퍼 받았습니다

케이스 서비스로 드립니다","
        충남 천안시 서북구 불당동
      ","
        370,000원
      "
"아이폰 10,11,12,13,14,15 바로 구매합니다",아이폰을 우리에게 좋은 가격에 팔아주세요. 귀하의 iPhone 사진을 보내주시면 좋은 가격으로 구입해 드리겠습니다.,"
        인천 서구 석남동
      ","
        나눔🧡
      "
아이폰11 64GB,"배터리성능 76%입니다
기스나 깨진부분도 없습니다","
        대전 유성구 전민동
      ","
        200,000원
      "
아이폰 11PRO 256GB 스페이스 그레이,"색상 : 스페이스 그레이
용량 : 256GB
상태 : 공기계/새 상품급
배터리 성능 : 83%
구성 : 본체, 케이블1,실리콘 케이스

FACE ID, 카메라 등 모든 기능 이상 없고 구매하자마자 케이스/필름 붙이고 사용해서
깨끗해요.

일과시간은 구파발역 스타벅스 앞
18시이후는 구산역 인근 직거래 선호합니다.
좋은 거래 기대해봅니다.","
        서울 은평구 구산동
      ","
        350,000원
      "
"아이폰11>>아이폰8,se2교환원해요","저:아이폰11
거래자분:아이폰8 입니다

아이폰11성태는배터리77%이고 128기가 화이트색상입니다 카메라부분이깨져있습니다 사진찍을때 화면이 엄청흔들립니다  모서리부분에 찍힘과 흠집이많아요 카메라빼곤 사용하시는데에는 지장없습니다 사진은 집가면 바로올리겠습니다


아이폰8교환 골드색상이배터리80정도 64기가이상이면 깨짐없어 좋겠습니다
Se2는 화이트색상원합니다","
        충남 아산시 둔포면
      ","
        가격없음
      "
아이폰 11케이스,핑크색 케이스는 살짝 기스가 있습니다,"
        인천 남동구 구월1동
      ","
        1,000원
      "
아이폰11프로 256기가 실버 팝니다,"네고문의는 안받습니다 

액정 깨끗합니다
뒷면 깨끗합니다
테두리 찍힘없고 티안나는
사용감 살짝 있습니다

배터리 정품으로 수리내역있습니다
배터리 짱짱 100프로입니다
구성품없고 핸드폰만 있습니다

중고폰 특성상 교환X 환불 X

구월2동 거래합니다 ","
        인천 남동구 구월동
      ","
        420,000원
      "
아이폰 11 Pro 256GB,"⭐️아이폰 11 Pro 팝니다.⭐️

- 소유자: 제 개인 폰이었고, 오래 사용하긴 했지만 외관에는 기스 없고, 깨끗하게 사용한 편입니다. 현재 초기화 시켜놓을 상태라 유심 꽂고 바로 사용하실 수 있습니다.

- 배터리: 크게 불편하시지 않으면 바로 사용하셔도 되는데, 배터리는 한 번 교체해주시면 좋을 것 같습니다.

- 이력: 전면 액정에 멍이 있있어서 화면을 사설에서 수리받은 이력이 있습니다. 

❗️그래서 올려드린 사진에서와 같이 “알 수 없는 디스플레이”라고 뜹니다. 그러나
사용하시는데 지장은 전혀 없습니다. 혹 신경이 쓰이시면 애플 서비스센터에서 가셔서 재수리 받으시면 되는데, 액정이 깨졌거나 문제가 생겼을 경우에 가시는 게 돈이 덜 아까우실 것 같습니다.

- 보호필름/케이스: 현재 사진으로 확인하실 수 있듯이 강화유리 부착해둔 상태이며, 투명 젤 케이스에 껴둔 상태입니다. 다이소에서 구매한 강화 유리(새 것)도 하나 드립니다.

- 풀박여부: 박스와 이어폰(새 것)은 샀을 때 그대로이며, 충전선은 새로 구입하셔야 합니다.

- 거래: 찾아오시거나 착불 택배로도 가능합니다.","
        경기도 수원시 장안구 이목동
      ","
        350,000원
      "
아이폰11 Pro Max,상태는 되게 좋습니다. 밧데리 iPhone 서비스센터 에서 바꿨습니다. 많이 연락 주세요. 64기가 입니다.,"
        경기도 안산시 단원구 와동
      ","
        350,000원
      "
아이폰11 256기가 80%,"액정 위쪽에 살짝 기스 있고 모서리 살짝 긁힘 외에 깨끗합니다
배터리성능 80%","
        강원도 강릉시 교동
      ","
        250,000원
      "
아이폰11 투명 케이스,"집정리하다가 나왔어요. 
새상품입니다. 

8공구 미송중학교 직거래","
        인천 연수구 송도동
      ","
        3,000원
      "
아이폰11프로 256기가 스페이스 그레이,"기기변경으로 팝니다
아이폰11프로 256 스페이스그레이 입니다
배터리 69%

공식A/S, 사설수리 이력 없습니다
케이스,보호필름 항시 착용하여 화면 기스, 깨지거나 모서리 찍힘없습니다 
 박스랑 이어폰 새거드려요 충전기는x 
교환x환불x

직거래만 가능하고 양평역에서 하겠습니다","
        서울 영등포구 양평제1동
      ","
        300,000원
      "
아이폰 11 프로 케이스,"Iphone 11 pro case , new
아이폰 11 프로 케이스, 새거","
        전북 완주군 삼례읍
      ","
        2,000원
      "
아이폰11프로 케이스 일괄 팝니다,"일괄 두개 합친 금액이예요.
사용감 별로 없습니다.
보관만 했어요.
필요하신 분 연락주세요!","
        경기도 구리시 갈매동
      ","
        3,000원
      "
아이폰11 화이트 128기가,"아이폰 11 128기가 화이트 색상입니다
배터리 효율:74%

액정,큰기스 없이 상태 좋으며 아주 작은 잔기스 2군데 정도 있습니다(액정쪽 깨짐은 필름입니다) 
사진 참고 부탁드려요 

다만, 후면 카메라 초점이 덜 잡힙니다
(전면 카메라는 이상 없습니다)
•쿨거시 에눌 가능","
        경기도 용인시 기흥구 구성동
      ","
        250,000원
      "
아이폰11프로맥스 팝니다,안녕하세요 상태 깨끗합니다,"
        대구 남구 대명9동
      ","
        350,000원
      "
아이폰11 128 민트,"액정 신품으로 교체했습니다.
외관등 특이사항 없습니다.
감사합니다.","
        경기도 파주시 야당동
      ","
        250,000원
      "
아이폰11pro 64gb 미드나잇그린,"액정이나 뒷판/ 카메라 깨짐 없구요,
테두리는 생활기스 찍힘 있는데 깨끗하다 하실거에요

배터리성능76% 남았구요

카메라나 얼굴인식 터치 등 작동이상 없습니다

정상해지, 초기화 완료","
        대전 유성구 용계동
      ","
        230,000원
      "
아이폰11프로 256기가 팝니다,"상태 아주 깨끗합니다(하단에 미세한 스크레치 하나)

배터리 교체했는데 ios버전이 눞아서 폰에는 79%로 뜨지만 컴퓨터에 연결하면 100%뜹니다. 사진 참고하세요.","
        제주 제주시 연동
      ","
        350,000원
      "
아이폰11프로맥스 256gb 그래파이트,"아이폰11프로맥스 256gb 그래파이트입니다
생활기스 외 상태 좋습니다
배터리 교체해서 100% 이고
(디스플레이도 애플공홈 정품으로 교체했습니다)

전반적인 상태 좋습니다

기기와 케이블 케이스 같이 드려요","
        인천 남동구 논현고잔동
      ","
        460,000원
      "
아이폰 11 256기가 80%,"액정 위쪽에 살짝 기스 있고 모서리 살짝 긁힘 외에 깨끗합니다
배터리성능 80%","
        강원도 속초시 조양동
      ","
        250,000원
      "
아이폰11pro,"아이폰 11프로 256기가 블랙입니다. 배터리 효율은 71퍼에요
상단부분 찍힘 자국있구요 액정 중앙쪽 기스 살짝 있습니다 필름 끼면 잘 안보이더라구요!
카메라는 필름을 사용해서 잘 작동돼요.
세번째 사진 보시면 액정 미세하게 들어가있어요
편하게 연락주세요~
빠른 구매순으로 판매하겠습니다~","
        경북 포항시 남구 송도동
      ","
        280,000원
      "
아이폰 11 프로 256g,"찍힘이나 기스없이 깨끗합니다.
긴말 안할께요. 갤럭시로 갈아타고자 판매합니다","
        서울 구로구 천왕동
      ","
        300,000원
      "
아이폰11pro max 256G 골드 색상,"22년도에 구매했고 배터리는 77%입니다 15로 변경하면서 판매합니다
전면 유리 아주 살짝 찍힘 외에는 파손 부위 없이 깨끗하게 썼어요 충전기는 따로 없고 케이스 여러개 구매했는데 같이 드릴게요 이번이 15로 바꿔서 안 맞네요..","
        경기도 연천군 전곡읍
      ","
        430,000원
      "
