title,coment,region,price
아이폰11 + 박스 + 케이스,"아이폰11 64GB입니다
사진에 보이듯 액정 파손이 있으며 이외 후면과 기능, 카메라 앞, 뒤 등 다른부분은 멀쩡합니다.
박스 안에 충전기 X","
        광주 광산구 어룡동
      ","
        150,000원
      "
마지막 가격 내림 아이폰5s 골드 16기가,"사용감 좀 있지만, 상태좋고 깨끗한편 입니다 (사진참고)
원하시면 같이 사용하던 케이스도 같이 껴서 드릴게요!! (박스 등 기타 악세사리는 없음)

아이폰5s / 16기가 / 골드
2013년도 출시된 기종
통신사 LGU+ 호환 안됩니다

직접 가지러 오셔야 하구요. 네고 문의는 x
중고거래 특성상 환불은 안됩니다.

이사 정리로 마지막 가격 내림 6월 30일 이후 그냥 가지고 이사가려 합니다.","
        경기도 동두천시 상패동
      ","
        80,000원
      "
아이폰 12 케이스티파이 케이스 프릭스,프릭스 x 케이스티파이 아이폰 12 모델입니다 사용감이 없지 않아 저렴하게 올립니다,"
        경기도 용인시 수지구 죽전1동
      ","
        20,000원
      "
아이폰 X 애플 정품 가죽케이스 팔아요(박스X),"4년 됐어요.
검은색이고요 가죽 상태 괜찮아요.

Xs는 안 맞습니다, 제가 Xs도 있어서 껴봤는데 카메라 부분이 잘 안 맞습니다. 참고 바랍니다.

서울대입구역 3번 출구에서 직거래 합니다.","
        서울 관악구 봉천동
      ","
        2,000원
      "
📱아이폰 13 풀 박스📱,"풀 박스 아이폰 13입니다.
찍힘 정도는 사진 확인 부탁드려요!
(7번째 사진 보시면 딱 한 곳 미세한 찍힘 있고 그 외에는 전혀 없습니다.)
카메라 기스 없고 정상작동됩니다!

📱128G
📱배터리 93%
📱수리 X
📱사생활 보호 필름 2매 증정","
        서울 송파구 오금동
      ","
        500,000원
      "
아이폰 11프로 256기가 미드나잇그린 풀박스,"핸드폰 바꾸면서 판매합니다.
정상해지폰이구요.

구매시 받았던 박스, 정품 이어폰(사용함), 정품 충전케이블(콘센트는 없음) 들어 있습니다
+ 애플 쇼핑백도 같이드려요🩵

범퍼케이스, 액정강화유리필름을 처음부터 계속 사용해서 스크래치가 거의 없습니다.

애플서비스센터나 사설수리 맡긴 적 없구요.
배터리효율은 80% 정도 예상됩니다.(희한하게 아이폰 설정에서는 계속 100%로 나오더라구요)

아무런 잔고장 없이 사용했는데
액정 아랫부분 일부가 안쪽에서 미세하게 픽셀이 나간 것 같아요. (사진 8,9 참고)
저는 동영상 볼 때 포함 실사용시 불편함은 없었지만 이 점 감안해서 풀박스임에도 저렴하게 판매합니다.

혹시 필요하시면 마지막 사진에 있는 새상품 실리콘케이스 드릴게요.

——————————————-
석촌동 불광유치원앞에서 직거래 합니다.
(전자기기라 택배x)

개인간 중고거래라 환불은 불가합니다","
        서울 송파구 석촌동
      ","
        330,000원
      "
아이폰X 256GB,"중고로 샀는데 2주일도 안 지나고 떨궈버려서 화면이 조금 까매졌어요..
폰 위쪽 양쪽에 까져있고 화면이 시계부분만 딱 가리게 까맣게 됐어요 

배터리 효율은 75고
용량은 256gb입니다
박스있습니다

화면도 생활기스 조금 밖에 없습니다
화면 금간 곳 없습니다
액정에 기스있는 건 폰액정이 아니라 강화필름에 난 기스입니다
페이스아이디, 녹음, 카메라, 마이크 다 문제 없습니다","
        울산 남구 야음동
      ","
        198,000원
      "
"아이폰 x,xs 겸용 보호필름 새제품 나눔합니다","필요하신분 가지고 가세요 
새제품이라 아까워 버리지 않았어요 
이사전에 가지고 가세요! 
월영현대아파트 입니다","
        경남 창원시 마산합포구 월영동
      ","
        나눔🧡
      "
아이폰x/xs보호필림과 케이스드려요,아이폰10x/xs케이스와보호필림 드려요,"
        충남 아산시 음봉면
      ","
        나눔🧡
      "
"아이폰 X, XS 가죽케이스 + 미개봉 보호필름","아이폰 X, XS (3종 일괄)
애플 정품 가죽 케이스 입니다. 

1. 폴더형 케이스
착용을 많이 안해서 상태 양호합니다. 

2. 가죽 케이스
상태는 양호하나 가죽 특성상 사용감 있습니다. 

3. 케이안 미개봉 보호필름

(반품, 환불 안됩니다)

<직거래 위치> 종로3가역","
        서울 종로구 종로1.2.3.4가동
      ","
        25,000원
      "
아이폰X 256GB,아이폰X 배터리효율 85퍼이고 모든 기능 정상작동 합니다. 생활기스 조금있지만 눈에 띌정도로 큰 찍힘은 없습니다. 전후면 필름 다붙어있습니다! 관리잘되어 있는 폰이라고 자부합니다. 거래가능시간은 저녁 9시 이후입니다 ! 폰 단품이며 원하시면 케이스하나 같이 드려요.,"
        인천 미추홀구 숭의동
      ","
        230,000원
      "
