title,coment,region,price
아이폰12 케이스,4개월정도 사용해 색이 좀 바랬습니다 원가 2만원정도에 구매했습니다,"
        대구 서구 중리동
      ","
        5,000원
      "
아이폰12 미니 케이스 실리콘 케이스,"포장은 뜯어진 상태이고 
레드는 사용한 적없고 블루는 이틀인가 착용 한 것같아요 블랙카드케이스는 약간 사용감 있습니다
한개당 5000","
        광주 남구 임암동
      ","
        10,000원
      "
아이폰 미니12 퍼플 128기가,"배터리성능 78프로
깨끗합니당! 
액정필름 새거 2장 같이 드려요!
짱구 케이스는 원하시면 드려요,,","
        부산 부산진구 전포동
      ","
        250,000원
      "
(풀박스) 아이폰 12프로 256,"깨끗하게 쓰다가 기기변경해서 내놓습니다
항상 하드케이스 끼우고 지내서 액정, 뒷판, 카메라는 기스 없고 옆면은 워낙에 기스 잘 가기로 유명해서 생활잔기스만 있는데 왼쪽 윗부분에 모서리에 살짝 찍힘있어 사진 첨부 해둡니다

배터리 잔량 78%, 무수리 무교체 입니다
살 때 받았던 박스와 케이블도 함께 그대로 드립니다. face ID, 터치 등 다 잘 작동합니다","
        경남 진주시 가호동
      ","
        400,000원
      "
아이폰12 미니 팝니다.,"최초개통일이 22년 12월입니다.
배터리효율은 85퍼이고 기스나 잔상은 없습니다.
강화유리필름 3개챙겨드립니다.
네고는 사절합니다.","
        충남 서천군 서면
      ","
        300,000원
      "
아이폰 12pro 256G 배터리 88%,"배터리 : 88%
수리이력 : 없음

액정 및 뒷판, 카메라까지 보호필름 붙어있습니다
박스 없고 휴대폰 단품입니다
3번째사진보시면 상처조금있고 나머지 깨끗합니다.
사진에있는 구성품 다 드립니다!
다시 갤럭시로 넘어가서 판매합니다..

쿨거래 1만원 할인!","
        전남 무안군 일로읍
      ","
        430,000원
      "
"아이폰12프로맥스용 전면,후면,카메라 필름","아이폰12프로맥스용 필름

빅쏘 액정필름 4매

후면필름 무광 2매, 광택 1매

카메라 필름 1매","
        경기도 남양주시 오남읍
      ","
        20,000원
      "
아이폰12 프로맥스 128기가 판매합니다,"아이폰12프로맥스 판매합니다
128기가이고 정상해지된 제품이며 밧데리 성능 77%입니다
아껴서 사용하여 제품깨끗합니다","
        경북 포항시 남구 오천읍
      ","
        450,000원
      "
아이폰 12미니 64gb,아이폰12미니 64gb 판매 합니다 ,"
        전남 강진군 군동면
      ","
        300,000원
      "
아이폰 12미니 64GB 판매합니다,"정상작동하고 액정은 겉에 보호강화유리깨진겁니다
사진확인해보시고 연락주세요","
        경기도 의정부시 송산3동
      ","
        200,000원
      "
아이폰12 64GB,"상태 아주 깨끗합니다
저렴하게 파는 중입니다
네고는 불가합니다","
        경기도 동두천시 송내동
      ","
        270,000원
      "
아이폰12 후방카메라커버,"새상품 
구매실수로 판매합니다.","
        충북 충주시 용산동
      ","
        2,000원
      "
아이폰12 미니 128퍼플폰 팝니다,상태 최상급 아이폰12 미니 퍼플입니다 외부상처없고 베터리성능100 퍼 팝니다 아주 상태좋아요 폰만있어요,"
        광주 동구 학동
      ","
        330,000원
      "
"아이폰투명케이스 아이폰12 ,13프로케이스 미끄럼방지케이스","☑️아이폰 카드수납형 투명케이스  
      13프로,12프로
      저렴히 드립니다.손잡이 옆면 미끄럼방지
      있어서 손에서 쉽게 미끌지 않아요! 

☑️카드수납도 가능 합니다. 아이폰 기종
     13프로,12프로여부 말씀해 주시면 됩니다.","
        경기도 파주시 월롱면
      ","
        4,000원
      "
아이폰12 64기가,"기능정상

외관깨끗

배터리 100% ""직접 교체"" 했습니다.
알 수 없는 문구 안 뜹니다.

네고 교환X
","
        경기도 남양주시 진접읍
      ","
        300,000원
      "
"아이폰12/12프로용 전,후면 필름","아이폰12/12프로용 필름


아이폰12/12프로용 신지모루 액정필름 3매

아이폰12용 후면필름 1매","
        경기도 남양주시 오남읍
      ","
        10,000원
      "
아이폰 12 pro 그린파이트 256기가,"찍힘 살짝있는데 사용하실때 거의 안보여요 
배터리 잔량 76퍼 입니다 
카메라,액정 깨끗합니다","
        충북 청주시 서원구 산남동
      ","
        365,000원
      "
아이폰 12미니 128기가,"아이폰 12미니 128기가 입니다
상태 아주 좋아요!
액정 카메라 하자 없고 배터리 성능 91%입니다!
연락주세요~","
        인천 미추홀구 도화동
      ","
        260,000원
      "
아이폰 12Pro,"-아이폰 12Pro 128기가
-배터리 성능 89
-색상 퍼시픽 블루
-공장초기화 완료
-카메라 ,바탕화면 기스X (화면 기스는 필름이 깨진거라 필름만 교체하면 됩니다)
생활기스 살짝 있는데 티 안납니다","
        경남 창원시 성산구 상남동
      ","
        450,000원
      "
아이폰12미니128기가,"아이폰미니 U+ 사용후 정상혜지폰입니다
모서리 두군데 조금찍혀있구요 배터리성능은 사진에 첨부합니다
폰케이스 5종 같이드려요","
        광주 북구 신용동
      ","
        200,000원
      "
